,SBS1,SBS2,SBS5,SBS7a,SBS7b,SBS7c,SBS7d,SBS13,SBS17a,SBS17b,SBS38,SBS40
Skin-Melanoma::S.88,0.0,0.0,3376.0,4841.0,31672.0,8005.0,938.0,0.0,0.0,0.0,528.0,0.0
Skin-Melanoma::S.89,0.0,2146.0,13146.0,48682.0,0.0,6736.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.90,0.0,8407.0,3193.0,32029.0,59376.0,6664.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.91,0.0,3109.0,7170.0,31333.0,35045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.92,144.0,0.0,2890.0,0.0,0.0,6386.0,2490.0,0.0,271.0,0.0,0.0,0.0
Skin-Melanoma::S.93,0.0,1347.0,15812.0,29242.0,13825.0,13262.0,525.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.94,3596.0,17136.0,6494.0,128785.0,0.0,3776.0,0.0,0.0,0.0,0.0,2256.0,0.0
Skin-Melanoma::S.95,390.0,1658.0,5206.0,26043.0,0.0,21798.0,0.0,0.0,0.0,0.0,0.0,5860.0
Skin-Melanoma::S.96,0.0,0.0,0.0,133459.0,30694.0,0.0,8605.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.97,928.0,0.0,3617.0,33779.0,7336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.98,528.0,0.0,0.0,0.0,3381.0,0.0,1239.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.99,0.0,222.0,1964.0,0.0,0.0,21481.0,0.0,0.0,0.0,0.0,0.0,0.0
